ID,NAME,DESCRIPTION,RULES,DETAIL_ROW
1,Conservadora,Inversión a largo plazo con bajo riesgo,[],[]
2,Moderada,Diversificación en distintos activos,[],[]
3,Agresiva,Alto rendimiento con mayor volatilidad,[],[]
4,Intradía,Compra y venta en el mismo día,[],[]
5,Pasiva,Inversión en índices con baja intervención,[],[]
6,Dividendos,Empresas con pagos periódicos de dividendos,[],[]
7,Criptomonedas,Alta volatilidad con oportunidades de ganancia,[],[]
8,Bonos,Instrumentos de renta fija,[],[]
9,ETF,Fondos cotizados diversificados,[],[]
10,Hedge Funds,Estrategias avanzadas para maximizar rendimiento,[],[]